City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
339,Padang,ID,82.45,-0.9492,100.3543,Mercure Padang
341,Faanui,PF,81.1,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Praia,CV,73.47,14.9215,-23.5087,LT Aparthotel
346,Kapit,MY,75.81,2.0167,112.9333,Hotel Meligai Kapit
347,Hambantota,LK,79.14,6.1241,81.1185,Bungalow 63
348,Valera,VE,71.62,9.3178,-70.6036,Hotel Camino Real
349,Taperoa,BR,77.4,-7.2075,-36.8267,Hotel Casarão Antigo
355,Cangas,ES,69.4,42.2641,-8.7846,Airiños
358,Inhambane,MZ,74.26,-23.865,35.3833,Oceano
359,Tutoia,BR,82.63,-2.7619,-42.2744,Pousada Guará's
361,Pitimbu,BR,81.19,-7.4706,-34.8086,Reserva do Abiaí
362,Saint-Joseph,RE,82.2,-21.3667,55.6167,"""Plantation Bed and Breakfast"
363,Andapa,MG,82.27,-14.65,49.65,Ramanandraibe Andapa
367,Atar,MR,98.65,20.5169,-13.0499,Oumou Elghoura
368,Cockburn Town,TC,77.97,21.4612,-71.1419,Osprey Beach Hotel
370,Alexandria,EG,94.1,31.2156,29.9553,Royal Crown Hotel
372,Bontang,ID,81.19,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
376,Limbang,MY,84.31,4.75,115.0,Purnama Hotel
379,Adiake,CI,77.77,5.2863,-3.304,Complexe Le Crystal
381,Acarau,BR,81.9,-2.8856,-40.12,castelo pizzaria
384,Santo Domingo,DO,75.04,18.5001,-69.9886,Cabañas City Heart
386,Yaring,TH,81.97,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
387,Durban,ZA,69.03,-29.8579,31.0292,Hilton Durban
391,Denpasar,ID,83.86,-8.65,115.2167,OYO 3156 Hotel Warta 2
392,Bengkulu,ID,81.59,-3.8004,102.2655,Grage Hotel Bengkulu
393,Le Port,RE,84.16,-20.9373,55.2919,KORBEY D'OR OUEST
395,Sao Jose De Ribamar,BR,86.38,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
396,Port-Gentil,GA,89.56,-0.7193,8.7815,Fengshui Residence
399,Takoradi,GH,85.69,4.8845,-1.7554,Raybow International Hotel
402,Swan Hill,AU,71.33,-35.3378,143.5544,Lazy River Motor Inn
404,Manaure,CO,80.06,11.7751,-72.4445,Hotel Palaaima
405,Jetpur,IN,99.12,21.7333,70.6167,Hotel The Grand Bansari
406,Marsh Harbour,BS,75.52,26.5412,-77.0636,Abaco Beach Resort
408,Arlit,NE,87.75,18.7369,7.3853,Case de Passage De la Prefecture
409,Dawei,MM,82.27,14.0833,98.2,Hotel Dawei
411,Barra Do Corda,BR,79.57,-5.5,-45.25,Belchior Palace Hotel
416,Mbandaka,CD,86.04,0.0487,18.2603,Guest House Epervier
418,Soyo,AO,83.25,-6.1349,12.3689,Hotel Mpampa
419,Itaituba,BR,77.16,-4.2761,-55.9836,Hotel Campos
420,Mardin,TR,69.06,37.3131,40.7436,Reyhani Kasri Hotel
422,Puerto Escondido,MX,77.83,15.85,-97.0667,Aldea del Bazar Hotel and Spa
426,Chardara,KZ,82.09,41.2547,67.9692,Жанаргул
427,La Ciotat,FR,71.62,43.1748,5.6045,ibis La Ciotat
429,Port Blair,IN,86.04,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
433,Kpalime,TG,91.58,6.9,0.6333,Hotel La Lumiere Kpalimé
434,Monrovia,LR,85.77,6.3005,-10.7969,Sunset Inn
439,Alta Floresta,BR,71.96,-9.8756,-56.0861,Floresta Amazonica Hotel
443,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
448,Cap Malheureux,MU,80.47,-19.9842,57.6142,Pereybere Hotel & Spa
449,Marawi,PH,69.96,7.9986,124.2928,Derogongan Residence
454,Tsiroanomandidy,MG,84.29,-18.7667,46.0333,Hotel Ravinala
458,Kashi,CN,70.81,39.4547,75.9797,帕米尔青年旅舍
459,Myitkyina,MM,82.94,25.3833,97.4,Shwe Phyu Hotel
460,Finote Selam,ET,76.48,10.7,37.2667,Kidanemihiret vilage with Anduamlak Alelign(ONEGOD)
467,Menongue,AO,79.54,-14.6585,17.691,Ritz Lauca
468,Tzucacab,MX,69.03,20.0667,-89.05,Hotel Jabines Centro
469,Mount Isa,AU,71.37,-20.7333,139.5,ibis Styles Mt Isa Verona
472,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
473,Bonthe,SL,87.91,7.5264,-12.505,Bonthe Holiday Village
478,Phan Thiet,VN,79.68,10.9333,108.1,Hotel Saigon-PT
482,Dondo,MZ,83.71,-19.6094,34.7431,Arco Iris
486,Sinait,PH,85.98,17.8664,120.4583,Farmville Resort
491,Pandan,PH,78.69,14.0453,124.1694,Bonifacio Lodge
492,Ternate,ID,81.73,0.8,127.4,Sahid Bela Ternate Hotel
498,Punta Gorda,US,75.97,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
499,Mamallapuram,IN,91.45,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
500,Touros,BR,84.83,-5.1989,-35.4608,INN NEW HORIZON
505,Grand-Santi,GF,75.24,4.25,-54.3833,Hotel La Villa Couacou
506,Shihezi,CN,71.53,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
509,Sampit,ID,79.2,-2.5333,112.95,Aquarius Boutique Hotel Sampit
513,Xapuri,BR,73.58,-10.6517,-68.5044,Pousada dos Chapurys
514,Wajir,KE,96.76,1.7471,40.0573,Al-bustan Hotel And Restaurant.
516,Tecolutla,MX,80.46,20.4833,-97.0167,Hotel Plaza Marsol
517,Mbalmayo,CM,90.36,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
526,Kalmunai,LK,85.26,7.4167,81.8167,VS Villa
527,Buala,SB,80.28,-8.145,159.5921,Maringe Lagoon Lodge
528,Singaraja,ID,82.58,-8.112,115.0882,Puri Bagus Lovina Resort
538,Luanshya,ZM,77.45,-13.1367,28.4166,CHOLWA GUEST HOUSE
539,Kununurra,AU,80.58,-15.7667,128.7333,Hotel Kununurra
541,Kropotkin,RU,70.72,45.4375,40.5756,Hotel Europe Kropotkin
542,Popondetta,PG,75.99,-8.7537,148.2534,Timos Transit House
544,Karaton,ID,77.34,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
545,Mattru,SL,95.97,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
548,Road Town,VG,80.64,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
551,Arona,ES,82.92,28.0996,-16.681,Paradise Court
552,Kutum,SD,94.03,14.2,24.6667,Dibbo areaمنطقة دبو
553,Tucurui,BR,79.57,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
556,Zhezkazgan,KZ,76.98,47.8043,67.7144,Hotel Zumrat
557,Ahuimanu,US,73.2,21.4447,-157.8378,Paradise Bay Resort
558,Catio,GW,95.83,11.2833,-15.25,Pausada Morabedja
560,Alice Springs,AU,83.75,-23.7,133.8833,Desert Palms Alice Springs
562,Nsanje,MW,84.61,-16.92,35.262,Nsanje Discovery Lodge
563,Eyl,SO,88.75,7.9803,49.8164,Amiin Hotel
566,Pafos,CY,85.23,34.7667,32.4167,Elysium Hotel
567,Alyangula,AU,73.27,-13.8483,136.4192,Groote Eylandt Lodge
570,Libreville,GA,86.02,0.3925,9.4537,Le Méridien Re-Ndama
572,Miracema Do Tocantins,BR,74.05,-9.5618,-48.3967,Miami Apart Hotel
573,Quatre Cocos,MU,80.1,-20.2078,57.7625,Sunrise Attitude Hotel
574,Grand Gaube,MU,80.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
577,Inongo,CD,80.04,-1.95,18.2667,Hotel Du Lac
578,Bitung,ID,79.65,1.4451,125.1824,K2 Lembeh
579,Yeppoon,AU,71.38,-23.1333,150.7333,Villa Mar Colina
581,Valle Hermoso,MX,78.69,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
