City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
92,Tipuani,-15.5648,-68.0185,67.24,96,99,0.67,BO
93,Moroto,2.5345,34.6666,77.18,56,100,4.38,UG
94,Dingle,10.9995,122.6711,77.97,84,49,6.4,PH
95,Klaipeda,55.7172,21.1175,46.45,52,55,9.04,LT
96,Kavieng,-2.5744,150.7967,83.66,71,78,14.36,PG
97,East London,-33.0153,27.9116,70.74,73,0,8.05,ZA
98,Kuytun,54.3419,101.5036,55.31,63,95,6.87,RU
99,Bakel,14.905,-12.4568,102.63,10,71,1.68,SN
100,Pevek,69.7008,170.3133,-1.61,98,90,3.67,RU
101,Linares,-35.85,-71.6,53.62,57,4,0.74,CL
102,Port Elizabeth,-33.918,25.5701,70.32,71,20,6.91,ZA
103,Sydney,-33.8679,151.2073,67.3,84,20,10.36,AU
104,Itarema,-2.9248,-39.9167,82.02,81,64,8.39,BR
105,Maxixe,-23.8597,35.3472,73.9,89,100,5.26,MZ
106,Atasu,48.6814,71.6433,77.0,16,81,10.98,KZ
107,Tateyama,34.9833,139.8667,56.1,72,97,11.34,JP
108,Novopokrovka,49.8425,36.5477,52.29,69,100,6.76,UA
109,Keuruu,62.2667,24.7,51.8,64,82,6.04,FI
110,Bluff,-46.6,168.3333,39.79,79,38,5.77,NZ
111,Moundou,8.5667,16.0833,107.69,19,2,0.98,TD
112,Areia Branca,-4.9561,-37.1369,88.0,71,59,6.6,BR
113,Chaplynka,46.3651,33.5403,54.77,66,100,7.92,UA
114,Zhigansk,66.7697,123.3711,26.46,89,99,27.83,RU
115,Norman Wells,65.282,-126.8329,-14.76,70,20,2.3,CA
116,Qasigiannguit,68.8193,-51.1922,16.05,87,17,3.0,GL
117,Georgetown,5.4112,100.3354,86.95,74,40,10.36,MY
118,Bethel,41.3712,-73.414,43.48,75,0,9.22,US
119,Leningradskiy,69.3833,178.4167,4.3,96,97,3.89,RU
120,Mogadishu,2.0371,45.3438,86.07,68,41,17.11,SO
121,Carnarvon,-24.8667,113.6333,69.87,94,40,6.91,AU
122,Saint George,37.1041,-113.5841,52.79,46,0,4.61,US
123,Jatiwangi,-6.7336,108.2628,79.52,85,41,3.51,ID
124,Jaca,42.569,-0.5499,73.11,42,8,3.67,ES
125,Sakakah,29.9697,40.2064,87.37,6,0,5.01,SA
126,Ordzhonikidze,52.4411,61.7408,54.93,46,18,5.7,KZ
127,Alofi,-19.0595,-169.9187,73.29,94,59,1.14,NU
128,Rawson,-43.3002,-65.1023,53.35,84,2,13.78,AR
129,Dagshai,30.8833,77.05,78.53,15,79,5.35,IN
130,Chimbote,-9.0853,-78.5783,64.49,91,67,4.63,PE
131,Lichuan,30.3,108.85,42.76,96,100,1.79,CN
132,San Cristobal,7.7669,-72.225,64.58,98,100,1.3,VE
133,Ugoofaaru,5.6667,73.0,84.61,73,100,9.84,MV
134,Kruisfontein,-34.0033,24.7314,66.88,47,80,7.72,ZA
135,Sao Lourenco Do Sul,-31.3653,-51.9783,67.51,68,64,8.39,BR
136,Aquidauana,-20.4711,-55.7872,70.32,57,60,4.92,BR
137,Kaitangata,-46.2817,169.8464,45.54,94,79,4.81,NZ
138,Aromashevo,56.8602,68.6375,45.27,46,25,11.18,RU
139,Vestmannaeyjar,63.4427,-20.2734,44.47,71,100,7.25,IS
140,Rockport,28.0206,-97.0544,75.25,96,100,9.22,US
141,Bodhan,18.6667,77.9,103.42,12,22,6.82,IN
142,Tomohon,1.3346,124.8392,70.74,91,100,1.59,ID
143,Noumea,-22.2763,166.4572,78.01,99,27,5.1,NC
144,Bastia,42.6667,9.3333,62.4,43,0,14.97,FR
145,Cherskiy,68.75,161.3,1.94,97,96,6.82,RU
146,Itoman,26.1247,127.6694,68.02,58,40,9.22,JP
147,Mar Del Plata,-38.0023,-57.5575,59.88,85,0,4.0,AR
148,Odweyne,9.4092,45.064,82.02,41,65,23.78,SO
149,Tura,25.5198,90.2201,72.07,76,64,5.39,IN
150,Coquimbo,-29.9533,-71.3436,55.89,88,16,1.32,CL
151,Praia Da Vitoria,38.7333,-27.0667,65.75,72,20,11.36,PT
152,Beloha,-25.1667,45.05,84.31,55,22,15.37,MG
153,Port-Cartier,50.0334,-66.8654,35.82,80,76,4.05,CA
154,Fort Nelson,58.8053,-122.7002,9.99,79,100,10.36,CA
155,Mataura,-46.1927,168.8643,39.47,97,52,2.15,NZ
156,Yerbogachen,61.2767,108.0108,44.08,90,100,13.65,RU
157,Hilo,19.7297,-155.09,74.28,89,0,5.75,US
158,Iqaluit,63.7506,-68.5145,-9.31,69,20,23.02,CA
159,Coahuayana,18.7333,-103.6833,69.24,86,94,3.6,MX
160,Souillac,-20.5167,57.5167,77.38,94,75,6.91,MU
161,Saint Simons,31.1352,-81.3901,71.64,90,100,4.61,US
162,Auki,-8.7676,160.7034,77.29,85,100,5.21,SB
163,Sitka,57.0531,-135.33,37.29,70,100,3.44,US
164,Yar-Sale,66.8333,70.8333,15.87,82,16,7.49,RU
165,Acapulco,16.8634,-99.8901,71.42,83,20,0.0,MX
166,East Retford,53.3221,-0.9432,66.36,50,0,12.66,GB
167,Qaqortoq,60.7167,-46.0333,30.52,78,100,3.89,GL
168,Clyde River,70.4692,-68.5914,-16.37,76,20,8.05,CA
169,Komsomolets,53.7453,62.0708,52.09,38,12,5.39,KZ
170,Gimli,50.6336,-96.9907,8.62,85,94,3.44,CA
171,Khatanga,71.9667,102.5,19.8,95,100,11.1,RU
172,Barrow,71.2906,-156.7887,-2.18,84,0,11.5,US
173,Oyem,1.5995,11.5793,82.4,65,100,0.56,GA
174,Hobart,-42.8794,147.3294,64.26,72,75,5.75,AU
175,Port Shepstone,-30.7414,30.455,69.96,72,88,13.06,ZA
176,Havelock,34.8791,-76.9013,67.95,92,0,10.36,US
177,Kedgwick,47.6446,-67.3434,34.2,83,100,5.75,CA
178,Argir,61.9959,-6.7715,49.17,98,100,11.36,FO
179,Lavrentiya,65.5833,-171.0,29.17,97,100,11.48,RU
180,Sibut,5.718,19.0739,99.5,29,51,7.83,CF
181,Ocos,14.5094,-92.1933,75.38,76,42,7.23,GT
182,Ribeira Grande,38.5167,-28.7,63.0,72,20,12.66,PT
183,Cabo San Lucas,22.8909,-109.9124,77.31,35,75,4.61,MX
184,Kysyl-Syr,63.8986,122.7617,28.22,84,100,10.4,RU
185,Salalah,17.0151,54.0924,87.89,70,20,13.8,OM
186,Vao,-22.6667,167.4833,76.87,72,19,4.41,NC
187,Passo De Camaragibe,-9.2368,-35.4901,85.55,79,58,4.79,BR
188,Bereda,43.2686,-7.5406,67.03,41,100,4.79,ES
189,Colac,-38.3333,143.5833,61.18,93,100,11.39,AU
190,Atyrau,47.1167,51.8833,68.02,42,0,11.18,KZ
191,Sorland,67.667,12.6934,41.79,93,96,21.36,NO
192,Emirdag,39.0197,31.15,64.6,39,100,2.57,TR
